Rank,Coin Name,Symbol,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,Sector
1,Bitcoin,BTC,36456.94,0.4,-1.7,1.0,18.4,22801222945.0,19549806.0,21000000.0,712726163003.0,Infrastructure/L1/L2
2,Ethereum,ETH,2027.6,0.5,1.4,1.0,20.7,26845710464.0,120249015.0,120000000.0,243488187281.0,Infrastructure/L1/L2
3,Tether,USDT,1.0,0.1,-0.3,-0.1,-0.1,47122466339.0,88308652879.0,88300000000.0,88027617310.0,Stablecoin
4,BNB,BNB,231.63,-0.1,-12.6,-8.0,5.4,3715265116.0,153856150.0,154000000.0,35716332862.0,Infrastructure/L1/L2
5,XRP,XRP,0.59,0.1,-1.9,-6.9,12.1,1339890506.0,53718306475.0,100000000000.0,31863926051.0,Infrastructure/L1/L2
6,USDC,USDC,1.0,0.0,-0.4,0.0,0.0,16458242430.0,24264590094.0,24300000000.0,24120082159.0,Stablecoin
7,Solana,SOL,54.97,0.6,-0.6,-11.4,87.9,2374980324.0,423104320.0,563000000.0,23258087884.0,Infrastructure/L1/L2
8,Lido Staked Ether,STETH,2023.81,0.4,1.5,0.9,20.7,17625537.0,9107771.0,9110000.0,18435320434.0,Altcoin
9,Cardano,ADA,0.37,0.1,-1.6,0.7,40.1,373277046.0,34964744027.0,45000000000.0,12903956719.0,Infrastructure/L1/L2
10,Dogecoin,DOGE,0.07,0.1,-2.3,0.1,14.9,957225658.0,141935606384.0,142000000000.0,10532913776.0,Memecoin
11,TRON,TRX,0.1,0.4,-0.9,-4.2,10.5,702105088.0,88600097491.0,88600000000.0,8845804888.0,Infrastructure/L1/L2
12,Toncoin,TON,2.39,0.9,0.4,4.1,10.9,27257580.0,3453524566.0,5100000000.0,8244520721.0,Altcoin
13,Chainlink,LINK,14.26,0.3,-0.4,-3.5,40.0,926388873.0,556849971.0,1000000000.0,7941773511.0,Infrastructure/L1/L2
14,Avalanche,AVAX,20.08,0.5,-6.5,2.9,100.9,1061106290.0,355636845.0,433000000.0,7141343014.0,Infrastructure/L1/L2
15,Polygon,MATIC,0.76,0.5,-1.6,-15.7,25.1,711370306.0,9275380957.0,10000000000.0,7042683031.0,Infrastructure/L1/L2
16,Polkadot,DOT,5.09,0.5,-1.6,-5.9,26.4,271357711.0,1299550655.0,1380000000.0,6613672178.0,Infrastructure/L1/L2
17,Wrapped Bitcoin,WBTC,36410.06,0.4,-1.4,1.1,18.2,309567762.0,162623.0,163000.0,5917513839.0,Infrastructure/L1/L2
18,Dai,DAI,1.0,-0.1,-0.4,-0.1,-0.4,315871456.0,5308318100.0,5310000000.0,5284281250.0,Stablecoin
19,Litecoin,LTC,67.37,-0.1,-3.8,-6.4,1.9,447880362.0,73901846.0,84000000.0,4981779441.0,Infrastructure/L1/L2
20,Shiba Inu,SHIB,0.0,0.3,-4.2,-7.1,9.9,214418543.0,589326636861240.0,1000000000000000.0,4682520125.0,Memecoin
21,Bitcoin Cash,BCH,219.26,0.0,-5.9,-5.7,-10.0,197348486.0,19565919.0,21000000.0,4285700162.0,Infrastructure/L1/L2
22,Uniswap,UNI,5.56,1.5,10.1,6.5,31.8,324382183.0,753766667.0,1000000000.0,4172482535.0,DeFi
23,LEO Token,LEO,3.98,-0.1,1.1,-1.1,2.8,1301722.0,928455568.0,985000000.0,3691760459.0,Altcoin
24,OKB,OKB,57.04,0.1,1.8,-3.3,29.0,49303991.0,60000000.0,236000000.0,3416416730.0,Altcoin
